gender,nat,DDD,id.y
female,BR,16,7
female,BR,15,728
female,BR,18,158
female,BR,93,501
female,BR,15,728
female,BR,69,258
female,BR,61,728
female,BR,28,258
female,BR,45,656
female,BR,82,501
female,BR,35,728
female,BR,14,258
female,BR,94,258
female,BR,53,501
female,BR,15,393
female,BR,11,816
female,BR,64,258
female,BR,88,7
female,BR,51,816
female,BR,44,393
female,BR,51,393
female,BR,61,816
female,BR,38,816
female,BR,54,501
female,BR,33,258
female,BR,55,7
female,BR,81,158
female,BR,21,7
female,BR,33,501
female,BR,82,158
female,BR,47,816
female,BR,31,501
female,BR,75,258
female,BR,31,501
female,BR,69,7
female,BR,46,7
female,BR,47,7
female,BR,69,7
female,BR,93,816
female,BR,53,816
female,BR,69,656
female,BR,79,728
female,BR,27,816
female,BR,42,258
female,BR,82,816
female,BR,73,656
female,BR,92,158
female,BR,65,728
female,BR,89,816
female,BR,42,7
female,BR,55,816
female,BR,55,501
female,BR,47,7
female,BR,15,158
female,BR,91,656
female,BR,68,258
female,BR,73,816
female,BR,55,656
female,BR,84,656
female,BR,31,393
female,BR,16,816
female,BR,51,258
female,BR,42,7
female,BR,18,816
female,BR,81,158
female,BR,91,728
female,BR,18,656
female,BR,96,656
female,BR,13,393
female,BR,87,656
female,BR,48,501
female,BR,55,656
female,BR,88,728
female,BR,84,501
female,BR,53,501
female,BR,14,728
female,BR,51,656
female,BR,87,158
female,BR,42,158
female,BR,55,816
female,BR,55,393
female,BR,13,728
female,BR,73,816
female,BR,45,816
female,BR,64,656
female,BR,84,501
female,BR,53,258
female,BR,92,816
female,BR,44,816
female,BR,88,728
female,BR,92,258
female,BR,64,816
female,BR,22,7
female,BR,62,393
female,BR,35,728
female,BR,13,158
female,BR,27,258
female,BR,24,656
female,BR,27,501
female,BR,85,728
female,BR,93,501
female,BR,73,816
female,BR,82,7
female,BR,63,728
female,BR,79,393
female,BR,99,501
female,BR,61,393
female,BR,96,7
female,BR,66,728
female,BR,28,7
female,BR,22,816
female,BR,62,656
