gender,UF,pokemon,element
male,PR,sobble,blue
male,DF,popplio,blue
male,MG,sobble,blue
male,CE,piplup,blue
male,PR,oshawott,blue
male,BA,piplup,blue
male,RN,oshawott,blue
male,PR,froakie,blue
male,SP,totodile,blue
male,BA,popplio,blue
male,PI,oshawott,blue
male,MG,totodile,blue
male,SP,squirtle,blue
male,MT,piplup,blue
male,AC,popplio,blue
male,MS,totodile,blue
male,DF,piplup,blue
male,BA,squirtle,blue
male,SP,sobble,blue
male,RJ,squirtle,blue
male,PR,squirtle,blue
male,PI,froakie,blue
male,MG,totodile,blue
male,SC,piplup,blue
male,PA,mudkip,blue
male,SP,totodile,blue
male,PE,froakie,blue
male,SP,totodile,blue
male,GO,mudkip,blue
male,MG,mudkip,blue
male,PE,sobble,blue
male,RJ,totodile,blue
male,MA,piplup,blue
male,AM,squirtle,blue
male,MG,popplio,blue
male,MA,totodile,blue
male,CE,mudkip,blue
male,MG,totodile,blue
male,PB,mudkip,blue
male,RS,piplup,blue
male,PI,froakie,blue
male,PE,sobble,blue
male,ES,froakie,blue
male,PR,totodile,blue
male,PB,mudkip,blue
male,SP,piplup,blue
male,MG,sobble,blue
male,SP,sobble,blue
male,PR,piplup,blue
male,AP,squirtle,blue
male,PR,mudkip,blue
male,MA,froakie,blue
male,ES,sobble,blue
male,RS,oshawott,blue
male,SC,mudkip,blue
male,BA,froakie,blue
male,MG,oshawott,blue
male,RJ,squirtle,blue
male,MT,oshawott,blue
male,RR,froakie,blue
male,AC,sobble,blue
male,RO,froakie,blue
male,SP,squirtle,blue
male,PA,sobble,blue
male,ES,piplup,blue
male,BA,oshawott,blue
male,SP,popplio,blue
male,PR,totodile,blue
male,PR,oshawott,blue
male,SP,oshawott,blue
male,RJ,popplio,blue
male,AM,popplio,blue
male,RJ,piplup,blue
male,MT,froakie,blue
male,MG,mudkip,blue
male,PR,popplio,blue
male,ES,popplio,blue
male,AL,squirtle,blue
male,GO,squirtle,blue
male,PI,piplup,blue
male,ES,popplio,blue
male,PR,mudkip,blue
male,ES,squirtle,blue
male,PA,piplup,blue
male,PR,sobble,blue
male,SP,mudkip,blue
male,MG,sobble,blue
male,SC,popplio,blue
male,DF,piplup,blue
male,MG,oshawott,blue
male,PE,mudkip,blue
male,PA,piplup,blue
male,GO,mudkip,blue
male,AM,sobble,blue
male,SP,froakie,blue
male,PE,oshawott,blue
male,GO,popplio,blue
male,RS,sobble,blue
male,SP,froakie,blue
male,SC,mudkip,blue
male,SP,piplup,blue
male,SP,squirtle,blue
male,BA,oshawott,blue
male,SP,piplup,blue
