gender,UF,pokemon,element
female,BA,rowlet,brown
female,MT,chimchar,brown
female,PR,rowlet,brown
female,MG,chimchar,brown
female,SP,chimchar,brown
female,AC,chimchar,brown
female,PR,rowlet,brown
female,PR,rowlet,brown
female,RJ,rowlet,brown
female,PR,rowlet,brown
female,SC,rowlet,brown
female,PR,chimchar,brown
female,RN,chimchar,brown
female,PR,rowlet,brown
female,MA,chimchar,brown
female,PE,rowlet,brown
female,PR,rowlet,brown
female,MA,chimchar,brown
female,RS,chimchar,brown
female,SE,chimchar,brown
female,PE,chimchar,brown
female,MG,rowlet,brown
female,RJ,rowlet,brown
female,PR,rowlet,brown
female,SP,rowlet,brown
female,PA,rowlet,brown
female,RN,rowlet,brown
female,SC,chimchar,brown
