gender,UF,pokemon,element
male,AM,rowlet,brown
male,MG,rowlet,brown
male,PR,chimchar,brown
male,PR,chimchar,brown
male,RN,rowlet,brown
male,RJ,chimchar,brown
male,DF,rowlet,brown
male,ES,chimchar,brown
male,BA,rowlet,brown
male,AL,chimchar,brown
male,BA,chimchar,brown
male,SP,rowlet,brown
male,ES,rowlet,brown
male,MA,rowlet,brown
male,SP,chimchar,brown
male,RS,chimchar,brown
male,TO,rowlet,brown
male,MG,chimchar,brown
male,BA,chimchar,brown
male,MG,chimchar,brown
male,SC,rowlet,brown
male,AM,chimchar,brown
male,PA,chimchar,brown
male,PA,rowlet,brown
