gender,UF,pokemon,element
female,MG,snivy,green
female,MG,chikorita,green
female,TO,chikorita,green
female,SP,grookey,green
female,PA,chikorita,green
female,PR,treecko,green
female,RS,turtwig,green
female,PI,treecko,green
female,PE,grookey,green
female,MS,turtwig,green
female,SE,bulbasaur,green
female,PI,chikorita,green
female,SP,bulbasaur,green
female,PE,turtwig,green
female,RS,chespin,green
female,GO,turtwig,green
female,RJ,treecko,green
female,MG,chespin,green
female,ES,grookey,green
female,CE,bulbasaur,green
female,BA,chikorita,green
female,RJ,turtwig,green
female,PR,snivy,green
female,MG,bulbasaur,green
female,PR,bulbasaur,green
female,MG,turtwig,green
female,MS,chespin,green
female,AL,turtwig,green
female,SP,grookey,green
female,SP,chikorita,green
female,RS,turtwig,green
female,RJ,turtwig,green
female,TO,bulbasaur,green
female,BA,snivy,green
female,SP,turtwig,green
female,RN,grookey,green
female,RO,grookey,green
female,BA,turtwig,green
female,PB,chikorita,green
female,PI,snivy,green
female,PR,chikorita,green
female,BA,bulbasaur,green
female,MA,treecko,green
female,PE,turtwig,green
female,SP,bulbasaur,green
female,RJ,turtwig,green
female,RS,grookey,green
female,AC,bulbasaur,green
female,PR,chespin,green
female,PR,chespin,green
female,MT,bulbasaur,green
female,MA,turtwig,green
female,PB,treecko,green
female,MA,treecko,green
female,RR,chikorita,green
female,BA,bulbasaur,green
female,PI,turtwig,green
female,BA,grookey,green
female,AC,turtwig,green
female,SP,treecko,green
female,RJ,treecko,green
female,PR,snivy,green
female,AM,grookey,green
female,PA,treecko,green
female,BA,bulbasaur,green
female,DF,bulbasaur,green
female,PA,treecko,green
female,MG,turtwig,green
female,BA,bulbasaur,green
female,DF,snivy,green
female,CE,treecko,green
female,BA,snivy,green
female,PA,chikorita,green
female,AM,snivy,green
female,GO,turtwig,green
female,PE,bulbasaur,green
female,MG,bulbasaur,green
female,AM,chikorita,green
female,PE,treecko,green
female,RS,chikorita,green
female,SC,chikorita,green
female,RN,treecko,green
female,SC,chespin,green
female,RJ,chespin,green
female,PR,treecko,green
female,RR,grookey,green
female,SE,turtwig,green
female,SC,chespin,green
female,MG,chikorita,green
female,ES,grookey,green
female,GO,treecko,green
female,PA,chespin,green
