gender,UF,pokemon,element
male,BA,bulbasaur,green
male,RS,snivy,green
male,MG,snivy,green
male,MG,turtwig,green
male,RO,snivy,green
male,MG,bulbasaur,green
male,RJ,snivy,green
male,BA,chikorita,green
male,RS,chespin,green
male,CE,bulbasaur,green
male,GO,turtwig,green
male,PE,treecko,green
male,PE,turtwig,green
male,SP,turtwig,green
male,BA,treecko,green
male,PA,bulbasaur,green
male,MA,turtwig,green
male,BA,chespin,green
male,AL,grookey,green
male,PR,chespin,green
male,RS,bulbasaur,green
male,RO,chikorita,green
male,MG,snivy,green
male,MG,chikorita,green
male,BA,turtwig,green
male,RJ,chespin,green
male,PE,treecko,green
male,PE,grookey,green
male,SP,turtwig,green
male,AM,treecko,green
male,PR,chespin,green
male,SE,bulbasaur,green
male,PI,chikorita,green
male,MG,chikorita,green
male,SP,snivy,green
male,RR,chikorita,green
male,MG,turtwig,green
male,PA,turtwig,green
male,RS,snivy,green
male,SP,grookey,green
male,MG,bulbasaur,green
male,AC,treecko,green
male,TO,grookey,green
male,SC,bulbasaur,green
male,MG,chespin,green
male,BA,snivy,green
male,SP,treecko,green
male,SP,chikorita,green
male,SC,grookey,green
male,PR,bulbasaur,green
male,SC,chikorita,green
male,CE,grookey,green
male,AC,turtwig,green
male,SP,turtwig,green
male,CE,chikorita,green
male,ES,turtwig,green
male,MG,grookey,green
male,PI,bulbasaur,green
male,MG,turtwig,green
male,RJ,snivy,green
male,AC,snivy,green
male,RJ,snivy,green
male,BA,grookey,green
male,BA,treecko,green
male,DF,treecko,green
male,AM,grookey,green
male,RJ,turtwig,green
male,BA,bulbasaur,green
male,AL,chikorita,green
male,MT,turtwig,green
male,CE,bulbasaur,green
male,MG,bulbasaur,green
male,GO,grookey,green
male,PI,snivy,green
male,SP,snivy,green
male,PI,turtwig,green
male,MT,bulbasaur,green
male,RO,snivy,green
male,RJ,snivy,green
male,PA,chikorita,green
male,SC,treecko,green
male,MG,bulbasaur,green
male,PR,snivy,green
male,SP,snivy,green
male,RR,chikorita,green
male,SC,bulbasaur,green
male,RS,turtwig,green
male,TO,turtwig,green
male,ES,snivy,green
male,BA,bulbasaur,green
male,CE,treecko,green
male,PR,chespin,green
male,MT,snivy,green
male,MG,chikorita,green
male,ES,chespin,green
male,RJ,snivy,green
male,DF,turtwig,green
male,SC,grookey,green
male,SP,chikorita,green
male,RO,grookey,green
male,CE,bulbasaur,green
male,RJ,chespin,green
