gender,nat,pokemon,element
female,BR,litten,red
female,BR,litten,red
female,BR,litten,red
female,BR,fennekin,red
female,BR,charmander,red
female,BR,charmander,red
female,BR,tepig,red
female,BR,tepig,red
female,BR,torchic,red
female,BR,fennekin,red
female,BR,litten,red
female,BR,fennekin,red
female,BR,tepig,red
female,BR,tepig,red
female,BR,fennekin,red
female,BR,tepig,red
female,BR,charmander,red
female,BR,torchic,red
female,BR,fennekin,red
female,BR,torchic,red
female,BR,litten,red
female,BR,torchic,red
female,BR,litten,red
female,BR,torchic,red
female,BR,tepig,red
female,BR,torchic,red
female,BR,charmander,red
female,BR,litten,red
female,BR,charmander,red
female,BR,torchic,red
female,BR,torchic,red
female,BR,fennekin,red
female,BR,torchic,red
female,BR,tepig,red
female,BR,tepig,red
female,BR,tepig,red
female,BR,fennekin,red
female,BR,torchic,red
female,BR,torchic,red
female,BR,charmander,red
female,BR,fennekin,red
female,BR,torchic,red
female,BR,tepig,red
female,BR,fennekin,red
female,BR,charmander,red
female,BR,fennekin,red
female,BR,fennekin,red
female,BR,litten,red
female,BR,fennekin,red
female,BR,litten,red
female,BR,tepig,red
female,BR,litten,red
female,BR,charmander,red
female,BR,fennekin,red
female,BR,fennekin,red
female,BR,tepig,red
female,BR,charmander,red
female,BR,charmander,red
female,BR,tepig,red
female,BR,torchic,red
female,BR,fennekin,red
female,BR,litten,red
female,BR,tepig,red
female,BR,tepig,red
female,BR,charmander,red
female,BR,fennekin,red
female,BR,torchic,red
female,BR,charmander,red
female,BR,litten,red
female,BR,fennekin,red
female,BR,litten,red
female,BR,tepig,red
female,BR,fennekin,red
female,BR,charmander,red
female,BR,tepig,red
female,BR,tepig,red
female,BR,fennekin,red
female,BR,fennekin,red
female,BR,tepig,red
female,BR,fennekin,red
female,BR,charmander,red
female,BR,charmander,red
female,BR,litten,red
female,BR,charmander,red
female,BR,torchic,red
female,BR,litten,red
female,BR,charmander,red
female,BR,torchic,red
female,BR,torchic,red
female,BR,charmander,red
female,BR,tepig,red
female,BR,fennekin,red
female,BR,fennekin,red
female,BR,torchic,red
female,BR,litten,red
female,BR,torchic,red
female,BR,litten,red
female,BR,tepig,red
female,BR,charmander,red
