gender,UF,pokemon,element
male,SP,litten,red
male,AM,litten,red
male,SC,charmander,red
male,PA,torchic,red
male,SP,torchic,red
male,MG,tepig,red
male,PR,charmander,red
male,RJ,litten,red
male,MA,torchic,red
male,SP,charmander,red
male,GO,tepig,red
male,PA,litten,red
male,PE,fennekin,red
male,MG,litten,red
male,PR,torchic,red
male,CE,charmander,red
male,AL,tepig,red
male,SE,fennekin,red
male,MG,litten,red
male,PR,tepig,red
male,SP,torchic,red
male,SP,tepig,red
male,AC,tepig,red
male,BA,charmander,red
male,SP,litten,red
male,SP,litten,red
male,MG,litten,red
male,RS,tepig,red
male,BA,fennekin,red
male,RS,tepig,red
male,BA,charmander,red
male,PB,charmander,red
male,PA,charmander,red
male,SP,torchic,red
male,MG,charmander,red
male,BA,torchic,red
male,SP,charmander,red
male,CE,tepig,red
male,MG,torchic,red
male,MT,litten,red
male,RJ,fennekin,red
male,PR,torchic,red
male,PE,fennekin,red
male,RR,tepig,red
male,PR,tepig,red
male,PR,tepig,red
male,PR,torchic,red
male,RR,tepig,red
male,PR,litten,red
male,PR,charmander,red
male,PI,tepig,red
male,RJ,fennekin,red
male,SP,charmander,red
male,DF,charmander,red
male,AC,litten,red
male,RJ,charmander,red
male,PB,litten,red
male,PI,litten,red
male,GO,tepig,red
male,PE,torchic,red
male,MG,litten,red
male,SP,fennekin,red
male,MG,fennekin,red
male,RS,litten,red
male,BA,charmander,red
male,MA,fennekin,red
male,DF,torchic,red
