gender,nat,pokemon,element
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
female,BR,scorbunny,white
