gender,nat,pokemon,element
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
male,BR,scorbunny,white
