gender,nat,pokemon,element
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
female,BR,cyndaquil,yellow
female,BR,pikachu,yellow
