gender,nat,pokemon,element
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
male,BR,cyndaquil,yellow
male,BR,pikachu,yellow
male,BR,cyndaquil,yellow
